time,des_dof_pos_left_ankle_pitch_joint,dof_pos_left_ankle_pitch_joint,dof_vel_left_ankle_pitch_joint,des_dof_pos_left_ankle_roll_joint,dof_pos_left_ankle_roll_joint,dof_vel_left_ankle_roll_joint,des_dof_pos_left_hip_pitch_joint,dof_pos_left_hip_pitch_joint,dof_vel_left_hip_pitch_joint,des_dof_pos_left_hip_roll_joint,dof_pos_left_hip_roll_joint,dof_vel_left_hip_roll_joint,des_dof_pos_left_hip_yaw_joint,dof_pos_left_hip_yaw_joint,dof_vel_left_hip_yaw_joint,des_dof_pos_left_knee_joint,dof_pos_left_knee_joint,dof_vel_left_knee_joint,des_dof_pos_waist_yaw_joint,dof_pos_waist_yaw_joint,dof_vel_waist_yaw_joint
8.776,-0.5780078492899035,-0.47782385833980584,-3.38163233927616,-0.19080471537394206,-0.16883258014670982,-3.8872866601521037,-0.3816094297762546,-0.11264287108414239,-6.290649811749731,0.08199213971009656,0.22814547566019416,-3.4576530416677453,-0.31800785831827394,-0.15545296094929884,-6.324437964989213,0.5183905462237454,0.6462962680507012,-6.381811096329018,0.0,0.07221284468608415,4.032663528536138
8.778,-0.5531579334876425,-0.48395759811158745,-3.1129073673007026,-0.17589476572290874,-0.17611371891044422,-3.527460656048946,-0.351789531417538,-0.12414253831118258,-5.816683536425033,0.10684205573859316,0.2216295459554603,-3.2059378123832323,-0.29315794345936314,-0.16695345531118258,-5.33076682636656,0.5482104445824619,0.634411682660593,-6.099294223370847,0.0,0.07987960788948434,3.9089825503160656
8.78,-0.5272340817487438,-0.48969686906514504,-2.637310717970281,-0.160340448919598,-0.182999846807418,-3.3771793812969566,-0.3206808968643216,-0.1352376068689967,-5.565239246961483,0.13276591560301507,0.21512689044198763,-3.1717884304298622,-0.2672340903969849,-0.17614113596291014,-4.523766030645506,0.5793190798894472,0.6233163694605326,-5.604540421303138,0.0,0.08714802405682359,3.5475916674545886
8.782,-0.5000728246780307,-0.4943261934038784,-2.345067845296026,-0.1440436974125641,-0.18916771420517117,-3.1189340673203256,-0.2880873948251282,-0.14525935406487908,-4.922188828559014,0.15992718548885446,0.20934399042339,-2.976623282631913,-0.2400728201089522,-0.18462072355063444,-4.023931215590615,0.611912611174872,0.6129119393065597,-4.8485358914196794,0.0,0.0944671883779028,3.5210628185968402
8.784,-0.4720661889435849,-0.4977920344051005,-1.7702123736010107,-0.127239716234706,-0.1945578150259725,-2.7563113000778,-0.25447943249797667,-0.1544969271521918,-4.4938459462288165,0.18793379305641514,0.2039555309755553,-2.7297863222679513,-0.2120661989150202,-0.19116589464531672,-3.2335391394003996,0.6455205726450846,0.6040576405689271,-4.509889026372547,0.0,0.10101029264684451,3.229222605854272
8.786,-0.44326522058381845,-0.5011956485887884,-1.385092485360912,-0.10995913756647262,-0.19909628078622635,-2.361140406898108,-0.219918276105976,-0.16281697743965212,-4.141218350732048,0.21673476182071996,0.19941706620119873,-2.2032528461022447,-0.18326522958381847,-0.19683921099623927,-2.839389331165942,0.6800816999209933,0.5961155606249853,-3.875641503010577,0.0,0.10668360998366436,3.0035648648917617
8.788,-0.41379039798839573,-0.503125691549709,-0.9598792146971138,-0.09227424450257207,-0.20330456849792136,-2.087618757706141,-0.18454848898133747,-0.17047055769093716,-3.8425113572541867,0.2462095989877976,0.19558591691685473,-1.8617956496032784,-0.1537904070122024,-0.20106291099002258,-2.071818027185414,0.7154514883519559,0.5892220156307162,-3.286936780548759,0.0,0.11241586364912698,2.71548363809241
8.79,-0.3835119977972828,-0.5042989878228715,-0.45180087306734007,-0.07410720072184483,-0.20641815950661374,-1.6515119327739298,-0.14821440047086162,-0.17706566042412217,-3.239321188726792,0.2764879982027172,0.19171685709704187,-1.9410435030550746,-0.12351200757990705,-0.2041765184987975,-1.496006297246152,0.7517855903389346,0.5837814933987494,-2.6045224665491826,0.0,0.11745727417472342,2.433708793136003
8.792,-0.3528547654909394,-0.504307985,-0.05050300744069203,-0.055712862824511204,-0.20871294485282618,-1.2408295793436426,-0.11142572562207916,-0.1827926856324209,-2.6722983695171227,0.30714523050906056,0.18790346057814908,-1.8017347174833511,-0.09285476749093943,-0.20647036285318165,-0.8910329035939092,0.7885742591592751,0.5795760769229766,-1.9447997467151321,0.0,0.12203690670600782,2.3713190036938028
8.794,-0.3218239621839752,-0.5031728167791155,0.4891908591609249,-0.037094378493621086,-0.20950046860829658,-0.5161476124998212,-0.07418875601418862,-0.18741083507509834,-2.3894523251527,0.3381760338160248,0.18444662714578616,-1.6673802666211706,-0.06182396448038631,-0.2072578736082966,-0.3756141903419955,0.825811256096578,0.5764920689499344,-1.3735654026584814,0.0,0.12626129427095006,1.965697735050304
